consulta_original,representacao,score_medio,score_maximo,score_minimo
entrega atrasada,Bag-of-Words,0.6177089970688809,0.8944271909999159,0.5345224838248487
entrega atrasada,TF-IDF,0.607371243988581,0.8724718132788205,0.5226230100175306
produto chegou com defeito,Bag-of-Words,0.7596204650912824,0.7745966692414834,0.7385489458759965
produto chegou com defeito,TF-IDF,0.5442484832086241,0.5898616384563219,0.512213252043308
ótimo custo benefício,Bag-of-Words,0.8430427122612958,0.8660254037844388,0.8006407690254358
ótimo custo benefício,TF-IDF,0.7653747148970064,0.8509606540614505,0.7025625984789039
